Operator<Heat Run>
Date<27.09.2022>
Start_Time<19:38:41>
TUT_Number<1LPL22000143819>
Data	Godzina	T.Oleju	T.Otocz.1	T.Otocz.2	T.Otocz.3	T.Otocz.4	Œred.T.Otocz.	Przyrost	Ciœnienie	Ró¿nica przyrostu na godz.
27.09.2022	19:38:41	24,5	24,7	24,4	24,4	24,8	24,6	-0,1	-0,8	0,0
27.09.2022	19:40:41	24,5	24,7	24,4	24,4	24,8	24,6	-0,1	-0,8	0,0
27.09.2022	19:42:41	24,4	24,7	24,4	24,4	24,8	24,6	-0,1	-0,7	0,0
27.09.2022	19:44:41	24,5	24,7	24,4	24,4	24,8	24,6	-0,1	-0,7	0,0
27.09.2022	19:46:41	24,5	24,7	24,4	24,4	24,8	24,6	-0,1	-0,6	0,0
27.09.2022	19:48:41	24,6	24,8	24,4	24,4	24,8	24,6	-0,0	-0,6	0,0
27.09.2022	19:50:41	24,7	24,8	24,4	24,4	24,8	24,6	0,1	-0,6	0,0
27.09.2022	19:52:41	24,8	24,8	24,4	24,4	24,7	24,6	0,2	-0,5	0,0
27.09.2022	19:54:41	24,7	24,7	24,4	24,4	24,8	24,6	0,2	-0,4	0,0
27.09.2022	19:56:41	24,8	24,7	24,4	24,4	24,8	24,6	0,3	-0,4	0,0
27.09.2022	19:58:41	24,9	24,8	24,4	24,4	24,7	24,6	0,3	-0,3	0,0
27.09.2022	20:00:41	25,0	24,8	24,4	24,4	24,7	24,6	0,5	-0,2	0,0
27.09.2022	20:02:41	25,2	24,8	24,4	24,4	24,8	24,6	0,6	-0,1	0,0
27.09.2022	20:04:41	25,4	24,8	24,4	24,4	24,7	24,6	0,8	-0,1	0,0
27.09.2022	20:06:41	25,7	24,8	24,4	24,4	24,8	24,6	1,1	0,0	0,0
27.09.2022	20:08:41	25,9	24,8	24,4	24,4	24,8	24,6	1,3	0,1	0,0
27.09.2022	20:10:41	25,9	24,8	24,4	24,4	24,7	24,6	1,3	0,2	0,0
27.09.2022	20:12:41	26,0	24,8	24,4	24,4	24,8	24,6	1,5	0,3	0,0
27.09.2022	20:14:41	26,2	24,8	24,4	24,4	24,8	24,6	1,6	0,3	0,0
27.09.2022	20:16:41	26,4	24,8	24,4	24,4	24,8	24,6	1,8	0,4	0,0
27.09.2022	20:18:41	26,6	24,8	24,4	24,4	24,7	24,6	2,1	0,5	0,0
27.09.2022	20:20:41	26,8	24,8	24,4	24,5	24,7	24,6	2,3	0,6	0,0
27.09.2022	20:22:41	27,1	24,8	24,4	24,5	24,8	24,6	2,5	0,7	0,0
27.09.2022	20:24:41	27,3	24,8	24,4	24,5	24,7	24,6	2,7	0,8	0,0
27.09.2022	20:26:41	27,5	24,8	24,4	24,5	24,8	24,6	2,9	0,8	0,0
27.09.2022	20:28:41	27,7	24,8	24,4	24,4	24,7	24,6	3,1	0,9	0,0
